complete_video_IDs,video_titles
https://www.youtube.com/watch?v=yEBuRHe5k0c,कम_समय_में_बनने_वाली_खस्ता_कुरकुरी_सत्तू_कचौरी_।_Sattu_ki_kachori_kaise_banti_hai
https://www.youtube.com/watch?v=igOuMDFsGSc,"बिना_तेल,_चना_दाल_से_झटपट_बना_स्वादिष्ट_नाश्ता,_जो_सबको_पसंद_आये_।_Steamed_Chana_Da_Veg_Idli_Recipe"
https://www.youtube.com/watch?v=y0fSvRVp69I,"गुड़_वाले,_सुपरफूड_मीठे_मखाने-2_तरह_से,_सर्दी_स्पेशल_"
https://www.youtube.com/watch?v=GE_gK8uFngc,"टमाटर_का_सूप,_बाजार_के_टमाटर_सूप_से_ज्यादा_अच्छा_व_फटाफट_बने।_Easy_&_Best_Creamy_Tomato_Soup_recipe"
https://www.youtube.com/watch?v=G8TrVtZOn1A,गोंद_के_सॉफ्ट_लड्डू_बनाने_का_खास_तरीका-सर्दी_में_स्वाद_व_एनर्जी_का_भंडार।_Gond_ke_Laddu_with_jaggery
https://www.youtube.com/watch?v=zZSRlOl4rUI,"फ्राइड_मसाला_ढोकला,_रसीला-खट्टा-मीठा-चटपटा,_स्वाद_एसा_जो_याद_रहे_।_Fried_Masala_Dhokla_no_Eno-Dahi"
https://www.youtube.com/watch?v=6CGIwwZJAuw,"मलाई_वाला_गाजर_हलवा,_कुकर_में,_बिना_घी_मावा,_मिल्क_या_कंडेस्ड_मिल्क_।_Carrot_Halwa_No_mawa-milk-ghee"
https://www.youtube.com/watch?v=eSwOqstG3ZY,"सर्दियों_के_लिये_खास,_तिल_मावा_की_बर्फी,_कम_इन्ग्रेडियेन्ट्स,_बनाना_आसान‌_।_Til_Mawa_ki_Barfi_Recipe"
https://www.youtube.com/watch?v=meRNiYXl88g,"आंवले_का_स्पाइसी_छुन्दा,_झटपट_बने,_गुणकारी,_नो_शुगर,_सालभर_चले_।_Spicy_No_Sugar_Amla_Chhunda_Recipe"
https://www.youtube.com/watch?v=FBQGXtP1oCo,ज्वार_और_बाजरा_के_दोसे_और_दोनों_इतने_कुरकुरे_!_Crispy_Jowar_or_Bajra__Dosa_without_rice_quick_recipe
https://www.youtube.com/watch?v=86ugEkNdQ9k,"बंगाली_मिठाई_लंग्चा,_जिसमें_रसगुल्ला-गुलाबजामुन_दोनों_का_स्वाद_है।_Saktigarh_Langcha_"
https://www.youtube.com/watch?v=z-jgOXDxFtQ,"गजक_का_स्पेशल_भुरभुरा_स्वाद,_बिना_चाशनी_को_खींचे_या_कूटे_।_Special_Til_Gur_Patti_Gajak_Recipe"
https://www.youtube.com/watch?v=azVU_F8EKNE,"कच्ची_हल्दी_का_हलवा,_जो_सर्दियों_में_आपके_शरीर_व_दिल_दोनों_संभाले।_Immune_booster_Raw_Turmeric_Halwa"
https://www.youtube.com/watch?v=4xW56i9Silg,सिर्फ_मक्की_के_आटे_से_बनायें_सॉफ्ट_पतली_रोटी_और_3_तरह_के_साग_परांठे_।_Makki_ki_Roti_&_Masala_Paratha
https://www.youtube.com/watch?v=SGZhU2l9HJc,स्वाद_भरा_सरसों_का_साग_फटाफट_कैसे_बनायें_
https://www.youtube.com/watch?v=DwX66JFNjiY,सर्दी_के_मौसम_का_कुरकुरा_मक्की_के_आटे_का_दोसा_बिना_ईनो-सोडा_संग_मे_खास_चटनी।_Cornmeal_Dosa_&_Chutney
https://www.youtube.com/watch?v=hTjUG9P-3ow,मूली_का_अचार-_आज_बनायें_पूरे_साल_खायें_
https://www.youtube.com/watch?v=bykCYZKsDmU,प्रोटीन्स_व_एनर्जी_से_भरे_तिल_नारियल_पीनट_लड्डू-बिना_चीनी_-_घी_के।_Til_Peanut_Laddu_No_Sugar-No_Ghee
https://www.youtube.com/watch?v=7OGNS8AQzH8,"खस्ता,_कुरकुरे_और_बेहद_स्वादिष्ट_मद्दुर_वडा_।_Maddur_Vada_Recipe_without_onion"
https://www.youtube.com/watch?v=7ov1714oGYY,"रसीली_भरवां_शिमला_मिर्च,_एसी_कि_मन_करे_बनाते_बनाते_खा_लें_"
https://www.youtube.com/watch?v=A0DVrHugV68,"ठंड_का_मौसम,_गर्मागर्म_मूली_परांठो_का_मौसम._बनाने_के_2_तरीके,_जो_एक_से_बढकर_एक।_Mooli_Paratha_Recipe"
https://www.youtube.com/watch?v=TqX1b3iJ18Y,"दाल_बाफले_एसे_बनायें,_न_फूटेंगे,_न_घुलेंगे।_Dal_Bafle_ki_Recipe_"
https://www.youtube.com/watch?v=dSPrbc-rIMA,"मेथी_मशरूम_मटर_मलाई_सब्जी,_विन्टर_स्पेशल_।_Methi_Mushroom_Matar_Malai_Recipe_-_Restaurant_Style"
https://www.youtube.com/watch?v=hYBdyBuyDNc,नागपुर_का_फेमस_स्ट्रीट_फूड_सांबर_वडी/पुडाची_वडी।_Pudachi_Kothimbir_Wadi_Recipe।_Sambarwadi_Recipe
https://www.youtube.com/watch?v=JclBO27u5so,"स्पेशल_छोले_मसाला,_झटपट__प्रेशर_कुकर_में_।_Quick_Chole_Masala_in_Cooker_"
https://www.youtube.com/watch?v=iJFvd78kzOM,कम_तेल_व_सुपर_स्वाद_वाला_स्पेशल_नाश्ता_आलू_मुठिया।_Special_Aloo_Muthia_Recipe-_Steamed_Potato_Muthia
https://www.youtube.com/watch?v=onm12OqE6hY,बिना_किसी_सांचे_के_खस्ता_ठेकुआ_छठ_स्पेशल।_Bihari_Thekua_recipe_with_jaggery_
https://www.youtube.com/watch?v=8ms6W3nBj5Q,"दही_वड़ा_रेसीपी,_6_स्पेशल_टिप्स_के_साथ_।_Dahi_Vada_Recipe_"
https://www.youtube.com/watch?v=Th5ky-3-X2Q,त्यौहार_की_थाली।_Festival_Thali_Recipe_
https://www.youtube.com/watch?v=8LyLjM2mg3I,"3_तरह_के_नमकपारे,_अलग_अलग_स्वाद,_लेकिन_एक_ही_डो_से_।_Quick_Namakpare_"
https://www.youtube.com/watch?v=lXAi9JpAkWs,मालपुआ_और_रबड़ी_-_त्यौहार_स्पेशल_।_Atta_Malpua_Rabdi_banane_ki_vidhi_
https://www.youtube.com/watch?v=Q1f8vJ-ztWw,दानेदार_मोहनथाल_मावा_या_कंडेंस्ड_मिल्क_बिना_बनायें।_Danedar_Mohanthal_Burfi_Recipe_without_Mawa/Milk
https://www.youtube.com/watch?v=bjEqMFLIo2Y,खस्ता_गुड़_पारे_-_दिवाली_स्पेशल_।_Gur_ke_Pare_Recipe_
https://www.youtube.com/watch?v=kUY_CtFBKsE,जिमीकन्द_कोफ्ता_का_नाश्ता_व_करी_।_Ol_ki_Sabji_
https://www.youtube.com/watch?v=Ng40f18nxAg,अधिरसम-अनरसा_कैसे_बनायें-दीपावली_स्पेशल_।_Adhirasam_Recipe_
https://www.youtube.com/watch?v=Qz_7tdEV6RI,"गेंहू_के_आटे_की_खस्ता_चकली-बिना_मोयेन,_फटाफट_।_Whole_Wheat_flour_chakli_"
https://www.youtube.com/watch?v=iFYvHBCYANg,आलू_की_कचौरी_जो_हर_बार_फूलें_व_करारी_बनी_रहें-5_टिप्स_।_Khasta_Aloo_Kachori_Banane_ki_Vidhi_-_5_Tips
https://www.youtube.com/watch?v=q0-wFtpefk8,चौलाई_का_खास_स्वादिष्ट_साग_
https://www.youtube.com/watch?v=EfL7YP9sdi8,शीर_पीरा-मिनटों_में_बनने_वाली_मिठाई।_Shir_Pira_milk_fudge_recipe_
https://www.youtube.com/watch?v=RrXVONUghGw,कर्नाटक-मराठवाड़ा_का_झटपट_नाश्ता_सुस्ला-सुशीला।_Susla-Sushila_Recipe_
https://www.youtube.com/watch?v=oTugGSOcY60,सूजी_आलू_मसाला_पूरी_व_खीरा_टमाटर_का_रायता।_Sooji_Aloo_Poori_Recipe_
https://www.youtube.com/watch?v=Lox6DfuRYyI,कुरकुरे_नारियल_कटलेट्स_।_Crispy_Coconut_Cutlets_with_Coriander_Chutney_&_Fruits_Curd_
https://www.youtube.com/watch?v=ueM-k0-gSTg,साबूदाने_की_बर्फी_-कलाकन्द_से_भी_अच्छा_स्वाद_।_Sago_Burfi_Recipe_
https://www.youtube.com/watch?v=ptwOwvHxgI8,"व्रत_का_पोरस_दोसा_जो_घंटो_बाद_भी_चीचड़_न_हो_।_Porus_dosa_for_Vrat,_Raw_Peanut_Chutney_&_Masala_Aloo"
https://www.youtube.com/watch?v=QpnuuW8uT8s,साबूदाना_नमकीन_मीठा_मिक्स-नवरात्रि_स्पेशल।_Falahari_Namkeen_Recipe_
https://www.youtube.com/watch?v=x7xoo9j_Lw4,दही_पापड़ी_चाट-आगरे_वाली_स्पेशल_।_Dahi_Papdi_Chaat_Recipe_
